
,,,,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Total Yds,Total Yds,Total Yds,Total Yds,Total Yds
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
4701,Ben Obomanu,28-330,2012-09-24,NFL,SEA,,GNB,W 14-12,3,3,Mon,0,0,,0,3,1,8,8.00,0,,,,,,,,,0,1,0,8,8,0
4702,Chris Ogbonnaya,26-182,2012-11-18,NFL,CLE,@,DAL,L 20-23,10,11,Sun,1,1,1.00,0,0,0,0,,0,,,,,,,,,0,1,1,1,1,0
4703,Kevin Ogletree,25-105,2012-11-18,NFL,DAL,,CLE,W 23-20,10,11,Sun,0,0,,0,3,1,10,10.00,0,,,,,,,,,0,1,0,10,10,0
4704,Kevin Ogletree,25-133,2012-12-16,NFL,DAL,,PIT,W 27-24,14,15,Sun,0,0,,0,1,1,9,9.00,0,,,,,,,,,0,1,0,9,9,0
4705,Kevin Ogletree,25-119,2012-12-02,NFL,DAL,,PHI,W 38-33,12,13,Sun,0,0,,0,2,1,8,8.00,0,,,,,,,,,0,1,0,8,8,0
4706,Kevin Ogletree,25-140,2012-12-23,NFL,DAL,,NOR,L 31-34,15,16,Sun,0,0,,0,1,1,12,12.00,0,,,,,,,,,0,1,0,12,12,0
4707,Greg Olsen,27-189,2012-09-16,NFL,CAR,,NOR,W 35-27,2,2,Sun,0,0,,0,3,1,13,13.00,0,,,,,,,,,0,1,0,13,13,0
4708,Greg Olsen,27-266,2012-12-02,NFL,CAR,@,KAN,L 21-27,12,13,Sun,0,0,,0,4,1,47,47.00,1,,,,,,,,,6,1,0,47,47,0
4709,Brock Osweiler,21-313,2012-09-30,NFL,DEN,,OAK,W 37-6,4,4,Sun,1,-1,-1.00,0,0,0,0,,0,,,,,,,,,0,1,-1,-1,-1,0
4710,Brock Osweiler,21-341,2012-10-28,NFL,DEN,,NOR,W 34-14,7,8,Sun,1,-1,-1.00,0,0,0,0,,0,,,,,,,,,0,1,-1,-1,-1,0
4711,Brock Osweiler,22-031,2012-12-23,NFL,DEN,,CLE,W 34-12,15,16,Sun,1,-1,-1.00,0,0,0,0,,0,,,,,,,,,0,1,-1,-1,-1,0
4712,Montell Owens,28-128,2012-09-09,NFL,JAX,@,MIN,L 23-26,1,1,Sun,0,0,,0,3,1,8,8.00,0,,,,,,,,,0,1,0,8,8,0
