
,,,,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Total Yds,Total Yds,Total Yds,Total Yds,Total Yds
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
1,Knowshon Moreno,26-131,2013-11-24,NFL,DEN,@,NWE,L 31-34,11,12,Sun,37,224,6.05,1,1,1,6,6.00,0,,,,,,,,,6,38,224,230,230,0
2,Adrian Peterson,28-255,2013-12-01,NFL,MIN,,CHI,W 23-20,12,13,Sun,35,211,6.03,0,4,2,0,0.00,0,,,,,,,,,0,37,211,211,211,0
3,Chris Ivory,25-212,2013-10-20,NFL,NYJ,,NWE,W 30-27,7,7,Sun,34,104,3.06,0,2,1,-2,-2.00,0,,,,,,,,,0,35,104,102,102,0
4,Zac Stacy,22-257,2013-12-22,NFL,STL,,TAM,W 23-13,15,16,Sun,33,104,3.15,1,1,1,5,5.00,0,,,,,,,,,6,34,104,109,109,0
5,Matt Asiata,26-144,2013-12-15,NFL,MIN,,PHI,W 48-30,14,15,Sun,30,51,1.70,3,5,3,15,5.00,0,,,,,,,,,18,33,51,66,66,0
6,Arian Foster,27-036,2013-09-29,NFL,HOU,,SEA,L 20-23,4,4,Sun,27,102,3.78,0,8,6,69,11.50,1,,,,,,,,,6,33,102,171,171,0
7,Eddie Lacy,23-147,2013-10-27,NFL,GNB,@,MIN,W 44-31,7,8,Sun,29,94,3.24,1,4,4,18,4.50,0,,,,,,,,,6,33,94,112,112,0
8,Adrian Peterson,28-248,2013-11-24,NFL,MIN,@,GNB,T 26-26,11,12,Sun,32,146,4.56,1,1,1,2,2.00,0,,,,,,,,,6,33,146,148,148,0
9,Ray Rice,26-257,2013-10-06,NFL,BAL,@,MIA,W 26-23,5,5,Sun,27,74,2.74,2,7,6,28,4.67,0,,,,,,,,,12,33,74,102,102,0
10,Zac Stacy,22-208,2013-11-03,NFL,STL,,TEN,L 21-28,9,9,Sun,27,127,4.70,2,7,6,51,8.50,0,,,,,,,,,12,33,127,178,178,0
11,Ryan Mathews,26-221,2013-12-08,NFL,SDG,,NYG,W 37-14,13,14,Sun,29,103,3.55,1,4,3,32,10.67,0,,,,,,,,,6,32,103,135,135,0
12,LeSean McCoy,25-059,2013-09-09,NFL,PHI,@,WAS,W 33-27,1,1,Mon,31,184,5.94,1,1,1,5,5.00,0,,,,,,,,,6,32,184,189,189,0
13,Bobby Rainey,26-032,2013-11-17,NFL,TAM,,ATL,W 41-28,10,11,Sun,30,163,5.43,2,2,2,4,2.00,1,,,,,,,,,18,32,163,167,167,0
14,Joique Bell,27-140,2013-12-22,NFL,DET,,NYG,L 20-23,15,16,Sun,20,91,4.55,1,10,10,63,6.30,0,,,,,,,,,6,31,91,154,158,4
15,Andre Brown,26-330,2013-11-10,NFL,NYG,,OAK,W 24-20,9,10,Sun,30,115,3.83,1,3,1,4,4.00,0,,,,,,,,,6,31,115,119,119,0
16,Eddie Lacy,23-175,2013-11-24,NFL,GNB,,MIN,T 26-26,11,12,Sun,25,110,4.40,1,6,6,48,8.00,0,,,,,,,,,6,31,110,158,158,0
17,Marshawn Lynch,27-146,2013-09-15,NFL,SEA,,SFO,W 29-3,2,2,Sun,28,98,3.50,2,3,3,37,12.33,1,,,,,,,,,18,31,98,135,135,0
18,Adrian Peterson,28-185,2013-09-22,NFL,MIN,,CLE,L 27-31,3,3,Sun,25,88,3.52,1,6,6,27,4.50,0,,,,,,,,,6,31,88,115,115,0
19,Knile Davis,22-085,2013-12-29,NFL,KAN,@,SDG,L 24-27,16,17,Sun,27,81,3.00,2,4,2,5,2.50,0,,,,,,,,,12,30,81,86,111,25
20,Matt Forte,27-279,2013-09-15,NFL,CHI,,MIN,W 31-30,2,2,Sun,20,88,4.40,0,11,10,73,7.30,0,,,,,,,,,0,30,88,161,161,0
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
21,Mike James,23-333,2013-11-03,NFL,TAM,@,SEA,L 24-27,8,9,Sun,28,158,5.64,0,2,2,8,4.00,0,,,,,,,,,0,30,160,166,166,0
22,Chris Johnson,28-097,2013-12-29,NFL,TEN,,HOU,W 16-10,16,17,Sun,27,127,4.70,1,3,3,14,4.67,0,,,,,,,,,6,30,127,141,141,0
23,Doug Martin,24-259,2013-09-29,NFL,TAM,,ARI,L 10-13,4,4,Sun,27,45,1.67,0,4,3,16,5.33,0,,,,,,,,,0,30,45,61,61,0
24,Ryan Mathews,26-225,2013-12-12,NFL,SDG,@,DEN,W 27-20,14,15,Thu,29,127,4.38,1,1,1,1,1.00,0,,,,,,,,,6,30,127,128,128,0
25,LeSean McCoy,25-149,2013-12-08,NFL,PHI,,DET,W 34-20,13,14,Sun,29,217,7.48,2,1,1,4,4.00,0,,,,,,,,,12,30,217,221,221,0
26,Le'Veon Bell,21-300,2013-12-15,NFL,PIT,,CIN,W 30-20,14,15,Sun,24,57,2.38,1,5,5,50,10.00,0,,,,,,,,,6,29,57,107,107,0
27,Reggie Bush,28-239,2013-10-27,NFL,DET,,DAL,W 31-30,8,8,Sun,21,92,4.38,1,9,8,30,3.75,0,,,,,,,,,6,29,92,122,122,0
28,Matt Forte,27-329,2013-11-04,NFL,CHI,@,GNB,W 27-20,8,9,Mon,24,125,5.21,1,8,5,54,10.80,0,,,,,,,,,6,29,125,179,179,0
29,Doug Martin,24-245,2013-09-15,NFL,TAM,,NOR,L 14-16,2,2,Sun,29,144,4.97,0,1,0,0,,0,,,,,,,,,0,29,144,144,144,0
30,DeMarco Murray,25-222,2013-09-22,NFL,DAL,,STL,W 31-7,3,3,Sun,26,175,6.73,1,3,3,28,9.33,0,,,,,,,,,6,29,175,203,203,0
31,Bilal Powell,24-330,2013-09-22,NFL,NYJ,,BUF,W 27-20,3,3,Sun,27,149,5.52,0,3,2,9,4.50,0,,,,,,,,,0,29,149,158,158,0
32,Stevan Ridley,24-280,2013-11-03,NFL,NWE,,PIT,W 55-31,9,9,Sun,26,115,4.42,2,4,3,9,3.00,0,,,,,,,,,12,29,115,124,124,0
33,Zac Stacy,22-250,2013-12-15,NFL,STL,,NOR,W 27-16,14,15,Sun,28,133,4.75,1,2,1,10,10.00,0,,,,,,,,,6,29,133,143,143,0
34,Jordan Todman,23-294,2013-12-15,NFL,JAX,,BUF,L 20-27,14,15,Sun,25,109,4.36,0,8,4,44,11.00,0,,,,,,,,,0,29,109,153,153,0
35,Ryan Mathews,26-235,2013-12-22,NFL,SDG,,OAK,W 26-13,15,16,Sun,25,99,3.96,1,5,3,20,6.67,0,,,,,,,,,6,28,99,119,119,0
36,LeSean McCoy,25-170,2013-12-29,NFL,PHI,@,DAL,W 24-22,16,17,Sun,27,131,4.85,0,2,1,3,3.00,1,,,,,,,,,6,28,131,134,134,0
37,DeMarco Murray,25-208,2013-09-08,NFL,DAL,,NYG,W 36-31,1,1,Sun,20,86,4.30,0,10,8,39,4.88,0,,,,,,,,,0,28,86,125,125,0
38,Adrian Peterson,28-227,2013-11-03,NFL,MIN,@,DAL,L 23-27,8,9,Sun,25,140,5.60,1,3,3,37,12.33,0,,,,,,,,,6,28,140,177,177,0
39,Ray Rice,26-299,2013-11-17,NFL,BAL,@,CHI,L 20-23,10,11,Sun,25,131,5.24,1,5,3,17,5.67,0,,,,,,,,,6,28,131,148,148,0
40,Zac Stacy,22-215,2013-11-10,NFL,STL,@,IND,W 38-8,10,10,Sun,26,62,2.38,1,3,2,6,3.00,0,,,,,,,,,6,28,62,68,68,0
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
41,Pierre Thomas,28-292,2013-10-06,NFL,NOR,@,CHI,W 26-18,5,5,Sun,19,36,1.89,0,9,9,55,6.11,2,,,,,,,,,12,28,36,91,91,0
