
,,,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Total Yds,Total Yds,Total Yds,Total Yds,Total Yds
Rk,,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Touch,TotOff,YScm,APYd,RtY
1,DeMarco Murray,26-295,2014-12-04,NFL,DAL,@,CHI,W 41-28,13,14,Thu,0,0,,0,0,0,,,,32,179,5.59,1,10,9,49,5.44,0,,,,,,,,,6,41,179,228,228,0
2,Jonas Gray,24-142,2014-11-16,NFL,NWE,@,IND,W 42-20,10,11,Sun,0,0,,0,0,0,,,,37,201,5.43,4,0,0,0,,0,,,,,,,,,24,37,201,201,201,0
3,DeMarco Murray,26-235,2014-10-05,NFL,DAL,,HOU,W 20-17,5,5,Sun,0,0,,0,0,0,,,,31,136,4.39,0,8,6,56,9.33,0,,,,,,,,,0,37,136,192,192,0
4,Alfred Blue,23-203,2014-11-16,NFL,HOU,@,CLE,W 23-7,10,11,Sun,0,0,,0,0,0,,,,36,156,4.33,0,0,0,0,,0,,,,,,,,,0,36,156,156,156,0
5,Donald Brown,27-163,2014-09-21,NFL,SDG,@,BUF,W 22-10,3,3,Sun,0,0,,0,0,0,,,,31,62,2.00,0,6,5,27,5.40,0,,,,,,,,,0,36,62,89,89,0
6,Le'Veon Bell,22-272,2014-11-17,NFL,PIT,@,TEN,W 27-24,11,11,Mon,0,0,,0,0,0,,,,33,204,6.18,1,4,2,18,9.00,0,,,,,,,,,6,35,204,222,222,0
7,C.J. Anderson,23-293,2014-11-30,NFL,DEN,@,KAN,W 29-16,12,13,Sun,0,0,,0,0,0,,,,32,168,5.25,0,3,2,17,8.50,1,,,,,,,,,6,34,168,185,185,0
8,Rashad Jennings,29-179,2014-09-21,NFL,NYG,,HOU,W 30-17,3,3,Sun,0,0,,0,0,0,,,,34,176,5.18,1,0,0,0,,0,,,,,,,,,6,34,176,176,176,0
9,DeMarco Murray,26-242,2014-10-12,NFL,DAL,@,SEA,W 30-23,6,6,Sun,0,0,,0,0,0,,,,28,115,4.11,1,6,6,31,5.17,0,,,,,,,,,6,34,115,146,146,0
10,Le'Veon Bell,22-292,2014-12-07,NFL,PIT,@,CIN,W 42-21,13,14,Sun,0,0,,0,0,0,,,,26,185,7.12,2,9,6,50,8.33,1,,,,,,,,,18,32,185,235,235,0
